date,portfolio,cumulative_return
2021-09-14,Equal Weight,1.029090635884769
2021-09-15,Equal Weight,1.0389100452685063
2021-09-16,Equal Weight,1.0487715050631983
2021-09-17,Equal Weight,1.0585625935120326
2021-09-20,Equal Weight,1.0624279272839012
2021-09-21,Equal Weight,1.0447519582079896
2021-09-22,Equal Weight,1.0543412987499536
2021-09-23,Equal Weight,1.0614360795214068
2021-09-24,Equal Weight,1.0670945246919477
2021-09-27,Equal Weight,1.0317130362686528
2021-09-28,Equal Weight,1.047647163146487
2021-09-29,Equal Weight,1.0438245170719944
2021-09-30,Equal Weight,1.0471736788231176
2021-10-01,Equal Weight,1.026864912812676
2021-10-04,Equal Weight,1.0322371785499977
2021-10-05,Equal Weight,1.0619024784276636
2021-10-06,Equal Weight,1.069041715004917
2021-10-07,Equal Weight,1.0705667193016626
2021-10-08,Equal Weight,1.0829180029030891
2021-10-11,Equal Weight,1.130930715648082
2021-10-12,Equal Weight,1.1314327667665784
2021-10-13,Equal Weight,1.1246090723965367
2021-10-14,Equal Weight,1.1201173370893782
2021-10-15,Equal Weight,1.1182750133445296
2021-10-18,Equal Weight,1.1201774596134482
2021-10-19,Equal Weight,1.1182046826949699
2021-10-20,Equal Weight,1.1126268163254895
2021-10-21,Equal Weight,1.0882587785260962
2021-10-22,Equal Weight,1.0912861736148152
2021-10-25,Equal Weight,1.086623472290729
2021-10-26,Equal Weight,1.0961364191597256
2021-10-27,Equal Weight,1.146015370113349
2021-10-28,Equal Weight,1.1668784424535117
2021-10-29,Equal Weight,1.1679548886918445
2021-11-01,Equal Weight,1.1554211502174208
2021-11-02,Equal Weight,1.174400421993552
2021-11-03,Equal Weight,1.1931452954335215
2021-11-04,Equal Weight,1.195833035301911
2021-11-05,Equal Weight,1.2044838154598647
2021-11-08,Equal Weight,1.2183818473490802
2021-11-09,Equal Weight,1.2060027971967786
2021-11-10,Equal Weight,1.2095998437259317
2021-11-11,Equal Weight,1.1942937901050144
2021-11-12,Equal Weight,1.2094946602003005
