date,ticker,drawdown
2025-06-16,MSN,-0.5305032330615699
2025-06-17,MSN,-0.522771998875458
2025-06-18,MSN,-0.5255833567613168
2025-06-19,MSN,-0.5255833567613168
2025-06-20,MSN,-0.5255833567613168
2025-06-23,MSN,-0.5220691594039932
2025-06-24,MSN,-0.5136350857464167
2025-06-25,MSN,-0.5059038515603049
2025-06-26,MSN,-0.49395558054540467
2025-06-27,MSN,-0.4602192859150983
2025-06-30,MSN,-0.4602192859150983
2025-07-01,MSN,-0.4714647174585338
2025-07-02,MSN,-0.4714647174585338
2025-07-03,MSN,-0.47638459375878683
2025-07-04,MSN,-0.47568175428732207
2025-07-07,MSN,-0.47427607534439264
2025-07-08,MSN,-0.46865335957267495
2025-07-09,MSN,-0.4672476806297454
2025-07-10,MSN,-0.45951644644363354
2025-07-11,MSN,-0.4623278043294924
2025-07-14,MSN,-0.47076187798706903
2025-07-15,MSN,-0.4763845937587867
2025-07-16,MSN,-0.4728703964014631
2025-07-17,MSN,-0.46443632274388646
2025-07-18,MSN,-0.4440539780714099
2025-07-21,MSN,-0.4552994096148453
2025-07-22,MSN,-0.45389373067191574
2025-07-23,MSN,-0.4567050885577746
2025-07-24,MSN,-0.465842001686816
2025-07-25,MSN,-0.4672476806297454
2025-07-28,MSN,-0.4545965701433805
2025-07-29,MSN,-0.49254990160247514
2025-07-30,MSN,-0.48692718583075745
2025-07-31,MSN,-0.49044138318808106
2025-08-01,MSN,-0.49044138318808106
2020-08-04,MWG,0.0
2020-08-05,MWG,0.0
2020-08-06,MWG,0.0
2020-08-07,MWG,-0.008796481407437051
2020-08-10,MWG,-0.0035985605757695716
2020-08-11,MWG,0.0
2020-08-12,MWG,0.0
2020-08-13,MWG,0.0
2020-08-14,MWG,0.0
2020-08-17,MWG,-0.010682945440671388
2020-08-18,MWG,-0.020602823349866184
2020-08-19,MWG,-0.01564288439526884
2020-08-20,MWG,-0.016787485692483672
2020-08-21,MWG,-0.01335368180083929
2020-08-24,MWG,0.0
2020-08-25,MWG,0.0
2020-08-26,MWG,-0.0036192544335865717
2020-08-27,MWG,0.0
2020-08-28,MWG,0.0
